Longitude,Latitude
-63.54680124,-64.73674946
-63.54621645,-64.73646945
-63.54585036,-64.73615808
-63.54511959,-64.73584702
-63.54409821,-64.73578552
-63.54315088,-64.73597329
-63.54213018,-64.73606761
-63.54067079,-64.73591293
-63.53957608,-64.73575796
-63.53840872,-64.73566537
-63.53753337,-64.73563487
-63.53592803,-64.73544909
-63.53454139,-64.73523196
-63.53322746,-64.73495243
-63.53256957,-64.73457891
-63.53140106,-64.7341746
-63.53052456,-64.73383239
-63.53088676,-64.73320881
-63.53132286,-64.7328345
-63.53248882,-64.73261549
-63.53299755,-64.73217879
-63.53350501,-64.73143043
-63.53299318,-64.73108798
-63.53226273,-64.73077685
-63.53160558,-64.73055917
-63.53072981,-64.7303728
-63.52949007,-64.73034251
-63.52912667,-64.73065443
-63.5282527,-64.73093553
-63.52781482,-64.73084234
-63.52693906,-64.73065595
-63.52635524,-64.73053168
-63.52526087,-64.73037659
-63.52503993,-64.72978459
-63.52518358,-64.72919234
-63.52620173,-64.72847484
-63.52576217,-64.72791415
-63.52364637,-64.72754158
-63.52182249,-64.72723112
-63.52051022,-64.72726313
-63.51861584,-64.72763831
-63.51723136,-64.7278885
-63.51592008,-64.72823212
-63.51570247,-64.72857507
-63.5156313,-64.72910493
-63.51548639,-64.72938551
-63.51563336,-64.72972825
-63.51526979,-64.73004013
-63.51439568,-64.73032114
-63.51271963,-64.73066495
-63.51199043,-64.73066537
-63.51111529,-64.73063471
-63.51031288,-64.73054166
-63.50987412,-64.73013675
-63.50936265,-64.72979421
-63.50834115,-64.72957661
-63.50702827,-64.72945266
-63.50564223,-64.72923524
-63.50505944,-64.72942254
-63.50469574,-64.72973439
-63.5049153,-64.73001477
-63.50535442,-64.73057552
-63.5054285,-64.73098064
-63.50521028,-64.73116775
-63.50462699,-64.73119922
-63.50389777,-64.7311996
-63.50222023,-64.73107579
-63.50112599,-64.7309205
-63.50010451,-64.73070284
-63.49864611,-64.73070354
-63.49689547,-64.7304862
-63.49558222,-64.73020631
-63.49426862,-64.72977057
-63.49331965,-64.72933467
-63.49236999,-64.7285871
-63.49156591,-64.7277148
-63.49127269,-64.72702928
-63.49054112,-64.72593879
-63.49046624,-64.72506619
-63.4909028,-64.72469203
-63.4909745,-64.72416219
-63.49104618,-64.72363235
-63.49089889,-64.72297794
-63.49053299,-64.72235479
-63.49002195,-64.72201219
-63.48907336,-64.72157626
-63.48921852,-64.72129572
-63.48929093,-64.72107754
-63.48950884,-64.72073464
-63.4892892,-64.72029842
-63.48936091,-64.71976859
-63.48957916,-64.71958151
-63.4898705,-64.7194879
-63.49023458,-64.71933192
-63.49059831,-64.71902013
-63.49081654,-64.71883305
-63.49096167,-64.71855251
-63.49154395,-64.71820945
-63.491908,-64.71805348
-63.49321908,-64.7177101
-63.49402062,-64.71764742
-63.49467671,-64.71770946
-63.49598811,-64.71752188
-63.49642446,-64.71714771
-63.49758839,-64.71630573
-63.49787766,-64.715433
-63.49744017,-64.71533971
-63.49685607,-64.71490368
-63.49612695,-64.7147482
-63.49547017,-64.71437453
-63.49444906,-64.71400101
-63.4937196,-64.7136897
-63.49284362,-64.71303563
-63.49233238,-64.71253723
-63.49167499,-64.71185191
-63.4914554,-64.71141571
-63.49079807,-64.71073038
-63.49006911,-64.71057486
-63.48912061,-64.70998314
-63.48853577,-64.70907964
-63.48817013,-64.70845651
-63.48729482,-64.70795824
-63.48649259,-64.70755343
-63.48496188,-64.70714889
-63.48357698,-64.70677544
-63.48262849,-64.70602787
-63.48197155,-64.70534251
-63.48204308,-64.7046569
-63.48182312,-64.70390907
-63.48109324,-64.70313025
-63.47948989,-64.70263219
-63.47781416,-64.70235227
-63.4769398,-64.70216557
-63.47606494,-64.70166724
-63.4750444,-64.70113779
-63.47416986,-64.70079526
-63.47300393,-64.70039049
-63.47271179,-64.69986081
-63.47161866,-64.69939368
-63.47045307,-64.69914469
-63.4691418,-64.69886457
-63.46702998,-64.69895858
-63.46506364,-64.69892788
-63.46295197,-64.69917763
-63.46134975,-64.6991468
-63.4604758,-64.6991158
-63.45931048,-64.69902253
-63.45748969,-64.69886704
-63.45559588,-64.69846224
-63.45399359,-64.6982755
-63.45217289,-64.69811994
-63.45027961,-64.6983383
-63.44809497,-64.69849435
-63.44612869,-64.69846336
-63.44372561,-64.69880633
-63.44139526,-64.69908692
-63.43979311,-64.69921164
-63.43884642,-64.69955445
-63.43695291,-64.69977263
-63.43586049,-64.69977264
-63.4346224,-64.69989729
-63.43280167,-64.70005309
-63.43119938,-64.70033352
-63.43047105,-64.70048931
-63.42879583,-64.70098784
-63.4276304,-64.70136173
-63.42624643,-64.70176676
-63.42529945,-64.70210949
-63.42355121,-64.70251446
-63.42231285,-64.70279482
-63.4209288,-64.70304398
-63.42020032,-64.70319972
-63.41932598,-64.7036359
-63.41903426,-64.70419679
-63.41903395,-64.70466424
-63.41910623,-64.70553681
-63.41939728,-64.70606661
-63.41976103,-64.70684573
-63.41990642,-64.70734436
-63.42041581,-64.70831048
-63.42077971,-64.70893379
-63.42128943,-64.70943246
-63.42165346,-64.70989995
-63.4220175,-64.71036744
-63.42245446,-64.7107726
-63.42281861,-64.71108427
-63.42325559,-64.71148944
-63.42347412,-64.71161412
-63.42325254,-64.71195335
-63.42390064,-64.71217287
-63.42449392,-64.7122998
-63.42544106,-64.71258035
-63.42675261,-64.71270509
-63.42726267,-64.71273628
-63.42784557,-64.71286097
-63.42784548,-64.71317261
-63.42762677,-64.7135154
-63.42682509,-64.71388932
-63.42609627,-64.71420092
-63.42558601,-64.71463718
-63.42602315,-64.71488652
-63.42697041,-64.71516706
-63.42769911,-64.71532292
-63.42879223,-64.71532298
-63.42966672,-64.71535418
-63.4301768,-64.71554118
-63.43075973,-64.7159775
-63.43134268,-64.71641382
-63.4314155,-64.71681896
-63.4309053,-64.71709942
-63.43039509,-64.71737989
-63.42981203,-64.71741103
-63.42922891,-64.71775381
-63.42908308,-64.71803429
-63.42944746,-64.71819013
-63.43039488,-64.71847064
-63.43061351,-64.71859531
-63.43148799,-64.71956144
-63.43242087,-64.72025955
-63.43272691,-64.72130669
-63.43192497,-64.72230395
-63.43075853,-64.72298955
-63.43010234,-64.7235505
-63.42922749,-64.72383096
-63.42849845,-64.72398675
-63.42718608,-64.72448532
-63.42645706,-64.72448528
-63.4262384,-64.7243606
-63.42631149,-64.7238308
-63.42594711,-64.72351912
-63.42536402,-64.7232386
-63.42470797,-64.72317622
-63.42397892,-64.72333199
-63.4234685,-64.72361243
-63.42339542,-64.72398641
-63.42375978,-64.72429809
-63.42397843,-64.72442277
-63.42412408,-64.7247656
-63.42383236,-64.7250149
-63.42324889,-64.72551349
-63.42317588,-64.72573165
-63.4228112,-64.72604327
-63.42215499,-64.7261367
-63.42157181,-64.72601198
-63.42069704,-64.7258249
-63.41989494,-64.72604297
-63.41887408,-64.72629218
-63.41748889,-64.72622967
-63.41654119,-64.72610488
-63.41522885,-64.72613586
-63.41413511,-64.72629152
-63.41355155,-64.72663425
-63.41318632,-64.72741333
-63.41303997,-64.72800546
-63.41311252,-64.72841062
-63.41296644,-64.72869109
-63.41245578,-64.7289715
-63.41252819,-64.72953249
-63.41311113,-64.72996891
-63.4135487,-64.72990665
-63.41364563,-64.72988854
-63.41366202,-64.73002614
-63.41413207,-64.72987558
-63.41493421,-64.72981337
-63.41551758,-64.72978229
-63.41639257,-64.72981358
-63.41690286,-64.73000064
-63.41726722,-64.73031235
-63.41719403,-64.73068633
-63.41639186,-64.73074856
-63.41602702,-64.73106017
-63.41631854,-64.73127837
-63.41661018,-64.73134074
-63.41755786,-64.73177719
-63.41828678,-64.73224478
-63.41879692,-64.7327435
-63.41879672,-64.73305516
-63.41821296,-64.73355375
-63.41755642,-64.733803
-63.41682701,-64.73395873
-63.4161268,-64.73405837
-63.41551399,-64.73430138
-63.4152948,-64.73480001
-63.41536741,-64.73520519
-63.41616949,-64.73545463
-63.41704457,-64.73564175
-63.417044,-64.73642092
-63.4171894,-64.73707544
-63.41711585,-64.73791693
-63.41704263,-64.73829092
-63.41638572,-64.73885184
-63.41594776,-64.73922578
-63.4152908,-64.73978669
-63.41434193,-64.74044106
-63.41404965,-64.74100203
-63.41266321,-64.74140698
-63.411131,-64.74162488
-63.40938004,-64.74171806
-63.40784778,-64.74193593
-63.40669559,-64.74218175
-63.40653403,-64.74243434
-63.40624155,-64.74299529
-63.40529269,-64.74333793
-63.40427058,-64.74389871
-63.40383234,-64.74427262
-63.40361243,-64.74508293
-63.40331965,-64.74579972
-63.40368388,-64.74626732
-63.40419421,-64.74661028
-63.40492351,-64.74692213
-63.40572605,-64.74701581
-63.40674737,-64.7472342
-63.4074035,-64.7477642
-63.40747601,-64.74816939
-63.40725671,-64.7485122
-63.40732922,-64.7489174
-63.40776662,-64.74932267
-63.40820437,-64.74941627
-63.40864213,-64.74950986
-63.40944477,-64.74960352
-63.4103935,-64.74957253
-63.41097719,-64.7496973
-63.41163378,-64.7499156
-63.41148755,-64.75019609
-63.41083019,-64.750757
-63.41075684,-64.75113101
-63.41075654,-64.75144269
-63.41068318,-64.7518167
-63.41104764,-64.75228429
-63.41221517,-64.75253384
-63.41279894,-64.75265862
-63.41403954,-64.75284583
-63.41484205,-64.75325114
-63.41586347,-64.75378116
-63.41630121,-64.75403057
-63.41695796,-64.75424884
-63.41746876,-64.75443592
-63.4169575,-64.75487222
-63.41673827,-64.75521504
-63.41695704,-64.75549559
-63.41746787,-64.75568268
-63.41768666,-64.75596322
-63.4176134,-64.75633724
-63.41695601,-64.7568982
-63.41673688,-64.75708518
-63.4166636,-64.7574592
-63.41688239,-64.75773976
-63.41717412,-64.75811382
-63.41790382,-64.75858146
-63.4180497,-64.75876849
-63.41812242,-64.7591737
-63.41819494,-64.75989061
-63.41870566,-64.76038938
-63.4187784,-64.76079459
-63.41892419,-64.76113748
-63.41826682,-64.7615426
-63.41775542,-64.76197891
-63.41731707,-64.76235289
-63.41717073,-64.76278925
-63.41782761,-64.76316337
-63.4178275,-64.76331922
-63.41804636,-64.76359978
-63.41753514,-64.76372439
-63.41700888,-64.76375979
-63.41636667,-64.76394242
-63.41432184,-64.76428499
-63.41271527,-64.76440942
-63.41096283,-64.76434677
-63.40964891,-64.76391015
-63.40796978,-64.7636293
-63.40709359,-64.76359795
-63.40592522,-64.76366004
-63.40461085,-64.76369092
-63.40375158,-64.7636092
-63.40300447,-64.76365938
-63.40190919,-64.76365911
-63.40059482,-64.76368995
-63.40043446,-64.76348419
-63.40066858,-64.76316009
-63.40059591,-64.76291071
-63.39993885,-64.7628482
-63.39825967,-64.76272307
-63.39764972,-64.76273311
-63.39577748,-64.76250418
-63.39431743,-64.7623479
-63.39278428,-64.76225392
-63.39137609,-64.76228883
-63.39095864,-64.76240918
-63.38920582,-64.76265795
-63.38796372,-64.7630939
-63.38701352,-64.76359228
-63.38664781,-64.76390385
-63.38664689,-64.7643714
-63.38635338,-64.7650882
-63.38657158,-64.76552466
-63.38642498,-64.76580514
-63.38627868,-64.76592977
-63.38562064,-64.76633474
-63.38510856,-64.76677093
-63.38415881,-64.7669576
-63.38335569,-64.76686378
-63.38269824,-64.76695704
-63.38138263,-64.76745524
-63.38050565,-64.76773542
-63.3789715,-64.76795299
-63.37590351,-64.76823221
-63.3758248,-64.76825735
-63.37553835,-64.76823204
-63.37400451,-64.7682937
-63.37225229,-64.7680747
-63.3712296,-64.76816773
-63.37049846,-64.76847908
-63.36925699,-64.76844731
-63.36764949,-64.76872705
-63.3660424,-64.76885091
-63.36555472,-64.76897181
-63.36538482,-64.76894409
-63.36465538,-64.768632
-63.36472948,-64.768258
-63.36480359,-64.76788399
-63.36407418,-64.7675719
-63.36268725,-64.76735297
-63.36166409,-64.76760178
-63.36042172,-64.76788163
-63.35888835,-64.76778726
-63.35874384,-64.76728845
-63.35867305,-64.76657149
-63.35728672,-64.76619666
-63.35633878,-64.76575972
-63.35487931,-64.76544716
-63.35341883,-64.76544628
-63.35268702,-64.76591338
-63.35268544,-64.76638094
-63.35261116,-64.76675493
-63.35224444,-64.76722226
-63.35260853,-64.76753419
-63.35326456,-64.76790863
-63.35362868,-64.76822056
-63.35355492,-64.76843871
-63.35311599,-64.76865663
-63.35165532,-64.76865574
-63.34931836,-64.7686231
-63.34676275,-64.76846559
-63.34479325,-64.76833583
-63.34406065,-64.76843262
-63.49027673,-64.71970115
-63.49027673,-64.71970115
-63.49109953,-64.72011699
-63.49078112,-64.72142507
-63.43314909,-64.78578358
-63.43299029,-64.78531771
-63.43304324,-64.78522591
-63.43305015,-64.78522002
-63.43315144,-64.78509435
-63.43339314,-64.78488817
-63.43361182,-64.78474336
-63.4337131,-64.7846766
-63.4338374,-64.78459511
-63.43408369,-64.78455927
-63.43420108,-64.78454258
-63.4335612,-64.78431775
-63.43291212,-64.78418176
-63.4326129,-64.78410567
-63.43238043,-64.78404626
-63.43219629,-64.78408062
-63.43210652,-64.78409584
-63.43188095,-64.78411645
-63.43153799,-64.78414884
-63.43107994,-64.78421314
-63.43079219,-64.78439722
-63.43033179,-64.78469175
-63.4296159,-64.7848655
-63.42695514,-64.78451634
-63.42689299,-64.78450799
-63.42638893,-64.78444954
-63.42620706,-64.78451875
-63.42593082,-64.78462427
-63.42429187,-64.78482199
-63.42332059,-64.78466875
-63.42280729,-64.78466969
-63.42198784,-64.7847133
-63.42086005,-64.78456346
-63.41999235,-64.78444948
-63.4191729,-64.78449308
-63.41835575,-64.78453471
-63.41753399,-64.78458026
-63.41661104,-64.78449374
-63.41602186,-64.78439989
-63.41563982,-64.78434044
-63.41502528,-64.78431237
-63.41456487,-64.78438348
-63.41374301,-64.78453701
-63.41261968,-64.78462372
-63.41215696,-64.78468942
-63.41031319,-64.78473279
-63.4098022,-64.78473171
-63.40929109,-64.78484109
-63.40852206,-64.78505988
-63.40834934,-64.78513348
-63.40749726,-64.78549658
-63.40631875,-64.78546345
-63.40570431,-64.78533224
-63.40558697,-64.78528755
-63.4050624,-64.7850896
-63.40499797,-64.78506602
-63.40497267,-64.7850557
-63.40458172,-64.78476353
-63.40408218,-64.78480171
-63.40345373,-64.78485163
-63.40212079,-64.78500399
-63.40104549,-64.78526537
-63.40068628,-64.78535315
-63.40062179,-64.78537621
-63.40021416,-64.7855224
-63.40010362,-64.78556262
-63.40002301,-64.78559205
-63.39973531,-64.78556743
-63.39967087,-64.78556104
-63.39933254,-64.78553297
-63.39700107,-64.78532959
-63.39556716,-64.78524179
-63.39424355,-64.78527822
-63.39398113,-64.78528599
-63.39379465,-64.78530754
-63.39360356,-64.7853281
-63.39280237,-64.78541719
-63.39174565,-64.78551308
-63.39136808,-64.78554781
-63.39114011,-64.78559977
-63.39023049,-64.78580811
-63.38956525,-64.78580837
-63.38895953,-64.78598097
-63.388393,-64.78611774
-63.38762636,-64.78617
-63.38746522,-64.78617485
-63.38657892,-64.78620399
-63.38589512,-64.78627148
-63.38586977,-64.78628571
-63.38557247,-64.78646037
-63.38516698,-64.78663154
-63.3848562,-64.78663879
-63.38443952,-64.78665042
-63.38407801,-64.78670084
-63.38347277,-64.78661569
-63.38287002,-64.78644266
-63.38238472,-64.78625298
-63.38234562,-64.78623971
-63.38202127,-64.78613355
-63.38174985,-64.78604115
-63.38166014,-64.78601215
-63.38133802,-64.7859433
-63.38073281,-64.78585813
-63.37984432,-64.78584009
-63.37916051,-64.78590756
-63.37867715,-64.78589018
-63.37863573,-64.78588378
-63.37815248,-64.78582221
-63.37730298,-64.78586652
-63.37718327,-64.78587285
-63.37688632,-64.78587322
-63.37637761,-64.7858725
-63.37610813,-64.78593768
-63.37553001,-64.78607929
-63.37436239,-64.78630115
-63.37351268,-64.78642153
-63.37328689,-64.7864985
-63.37266482,-64.78671421
-63.37243433,-64.78682947
-63.37221542,-64.78691528
-63.37175457,-64.78708933
-63.37144542,-64.78735231
-63.3712747,-64.78749754
-63.37118933,-64.78757016
-63.37124069,-64.78818038
-63.37154614,-64.78846427
-63.37246823,-64.78888001
-63.37312787,-64.78931084
-63.37321291,-64.78936587
-63.37333702,-64.78944889
-63.37387923,-64.78989635
-63.37405155,-64.7900388
-63.37490235,-64.79046382
-63.37614871,-64.79108881
-63.37691693,-64.79141511
-63.37880951,-64.79242131
-63.37962831,-64.79281487
-63.3801895,-64.79309934
-63.38049717,-64.79349171
-63.38084206,-64.79371767
-63.38136631,-64.79406055
-63.3825988,-64.79487399
-63.38295292,-64.79510928
-63.38343616,-64.79527393
-63.38422085,-64.79553981
-63.3846926,-64.79569954
-63.38499807,-64.79609387
-63.38497695,-64.79628581
-63.38495579,-64.79649984
-63.38494643,-64.79657397
-63.38474089,-64.79685667
-63.38460945,-64.79694155
-63.38422896,-64.79718441
-63.38222915,-64.79757737
-63.38192727,-64.79766758
-63.38084414,-64.79799116
-63.3803829,-64.79827571
-63.37992165,-64.79855781
-63.37884171,-64.79947638
-63.36055379,-64.7997179
-63.35988978,-64.79919273
-63.35839979,-64.79914427
-63.35758398,-64.79930139
-63.35717095,-64.7995422
-63.35660815,-64.79980256
-63.35184275,-64.79982228
-63.35235784,-64.79938469
-63.35240866,-64.79934152
-63.35184765,-64.79905693
-63.3511296,-64.79890331
-63.35020865,-64.79881682
-63.49078112,-64.72142507
-63.49107175,-64.72201438
-63.49179416,-64.72265651
-63.49218762,-64.72302002
-63.49225241,-64.72323496
-63.49228264,-64.72340083
-63.49228287,-64.72349653
-63.49228324,-64.72365604
-63.49231393,-64.72401332
-63.49216314,-64.72433437
-63.49186524,-64.7245897
-63.4916865,-64.72474291
-63.49166367,-64.72479936
-63.49156778,-64.72503645
-63.49159846,-64.72539373
-63.49161943,-64.7255233
-63.49162174,-64.72552869
-63.49165428,-64.72569997
-63.49168917,-64.72589136
-63.49174935,-64.72609551
-63.4918599,-64.72623681
-63.49199117,-64.72640215
-63.49203721,-64.72645121
-63.49204182,-64.7264571
-63.49220298,-64.72663617
-63.49235032,-64.72679758
-63.49241025,-64.72689375
-63.49253013,-64.727091
-63.49278773,-64.72726364
-63.49282223,-64.72728572
-63.49316493,-64.72751084
-63.49354457,-64.72781988
-63.49402539,-64.72817746
-63.4944184,-64.72830293
-63.49462294,-64.7283686
-63.49473356,-64.72852463
-63.49477299,-64.72868756
-63.49502844,-64.72890388
-63.49522176,-64.72907018
-63.49555074,-64.72929972
-63.49584763,-64.72955677
-63.49589823,-64.72958472
-63.4963904,-64.72986131
-63.49677898,-64.73003978
-63.49779465,-64.73025624
-63.49911121,-64.73047304
-63.49961881,-64.73048556
-63.5003654,-64.730549
-63.50051238,-64.73054598
-63.50120136,-64.73053583
-63.50198022,-64.73063802
-63.50239846,-64.73072713
-63.5033245,-64.73089255
-63.50389204,-64.73098159
-63.5048477,-64.73105766
-63.50523581,-64.73104469
-63.50545386,-64.73099795
-63.50589688,-64.73091085
-63.50628905,-64.73071481
-63.50642151,-64.73046099
-63.50654032,-64.73024841
-63.50659058,-64.73015857
-63.5066043,-64.73013696
-63.5066043,-64.73013696
-63.50659508,-64.73012764
-63.50641999,-64.72994074
-63.50579568,-64.72927555
-63.50635743,-64.72896605
-63.50813276,-64.72899846
-63.50947941,-64.72928533
-63.50990915,-64.72937687
-63.51023787,-64.72947877
-63.51062177,-64.72959732
-63.51079648,-64.7296517
-63.51136201,-64.72983347
-63.51231838,-64.73014016
-63.51233447,-64.73014604
-63.51240804,-64.73016907
-63.51277338,-64.73022481
-63.51280555,-64.73022921
-63.51359599,-64.7303485
-63.51377981,-64.73037539
-63.51450751,-64.73027041
-63.51456946,-64.73025173
-63.51479432,-64.73018681
-63.51513849,-64.73008599
-63.5160379,-64.72982139
-63.51609973,-64.72976835
-63.51692185,-64.72906306
-63.51813096,-64.72871728
-63.51933892,-64.72871701
-63.5197572,-64.72880607
-63.51998472,-64.72885452
-63.52039576,-64.7288415
-63.52103182,-64.72881998
-63.52224208,-64.72881773
-63.52272243,-64.72891999
-63.52336993,-64.72888619
-63.52425614,-64.72881738
-63.52619236,-64.7288838
-63.52658308,-64.72896697
-63.52665211,-64.72900128
-63.52662283,-64.72915443
-63.52647403,-64.72928214
-63.52635499,-64.72938431
-63.52631149,-64.72942164
-63.52623595,-64.72948648
-63.52614667,-64.7295631
-63.52614714,-64.72969071
-63.5262992,-64.72981871
-63.52643488,-64.7298672
-63.52650619,-64.72989709
-63.52683728,-64.72999699
-63.52722586,-64.73011648
-63.52749489,-64.73020071
-63.52766031,-64.73021876
-63.52802333,-64.73025679
-63.52809226,-64.7302641
-63.52827155,-64.73030226
-63.52839341,-64.730338
-63.52866012,-64.73041684
-63.52901894,-64.73055695
-63.5290948,-64.7305731
-63.52932006,-64.73062104
-63.52970864,-64.73073561
-63.52994745,-64.73072268
-63.53004831,-64.73067304
-63.53016063,-64.73061602
-63.53030504,-64.73054377
-63.53060286,-64.73035215
-63.53081166,-64.73030095
-63.53103869,-64.73021441
-63.53107996,-64.73019868
-63.53155731,-64.73010901
-63.53188589,-64.73014705
-63.53204441,-64.73016117
-63.53216381,-64.7301547
-63.53288983,-64.73022338
-63.534585,-64.73084397
-63.53475101,-64.73156582
-63.53475101,-64.73156582
-63.53433447,-64.73192835
-63.53411474,-64.73211698
-63.53388302,-64.73218046
-63.53349566,-64.73238247
-63.53304156,-64.73255066
-63.53273201,-64.7326834
-63.53252617,-64.73290442
-63.53227878,-64.73307245
-63.53180422,-64.7333025
-63.53153621,-64.73348822
-63.53146754,-64.73354716
-63.5314538,-64.73355895
-63.53170685,-64.73365448
-63.53211377,-64.73374351
-63.53261034,-64.73384916
-63.53312752,-64.73393713
-63.53362428,-64.73408695
-63.53405888,-64.73420148
-63.53424537,-64.73430736
-63.53427321,-64.73437458
-63.53428711,-64.73440451
-63.53441144,-64.73447509
-63.53443905,-64.73448587
-63.53474268,-64.73458969
-63.53536362,-64.73476592
-63.53612931,-64.73495087
-63.53668809,-64.7350918
-63.5369158,-64.73516231
-63.53692047,-64.73518046
-63.53693677,-64.73523297
-63.53701973,-64.73529475
-63.53730942,-64.73535637
-63.53774388,-64.73542671
-63.53838259,-64.73545223
-63.53868356,-64.73546231
-63.53893609,-64.7354253
-63.53965715,-64.7353678
-63.5400728,-64.73533606
-63.54037592,-64.73531227
-63.54109758,-64.73539464
-63.54127226,-64.73541708
-63.54195031,-64.73550734
-63.54306517,-64.73567332
-63.54431215,-64.73558789
-63.54477358,-64.73552175
-63.54548983,-64.73541907
-63.54581603,-64.73541978
-63.54699562,-64.73567058
-63.5472584,-64.7358662
-63.54726098,-64.73592804
-63.54726134,-64.73600657
-63.54745941,-64.73611733
-63.5480484,-64.73631365
-63.54850797,-64.73634025
-63.54863888,-64.73633376
-63.54903161,-64.73631183
-63.54937115,-64.73621485
-63.54972444,-64.73611344
-63.55001121,-64.73603221
-63.55007764,-64.7359924
-63.55051061,-64.73573631
-63.55053581,-64.73572205
-63.55069367,-64.73558645
-63.55105744,-64.73527398
-63.55112149,-64.73521896
-63.55194265,-64.73496449
-63.55009026,-64.75281849
-63.54963012,-64.7527379
-63.54928982,-64.75271954
-63.54925763,-64.7527176
-63.54890323,-64.75263495
-63.54847565,-64.75263237
-63.5483149,-64.75266686
