Longitude,Latitude
-58.76422505,-62.20437662
-58.76303435,-62.20436214
-58.76148748,-62.20448884
-58.76070265,-62.20442792
-58.7596652,-62.20429543
-58.75883069,-62.20413972
-58.75756757,-62.20378188
-58.7566834,-62.20353139
-58.75554665,-62.20320932
-58.75430633,-62.20309998
-58.75303906,-62.20314439
-58.75177179,-62.20318879
-58.75096005,-62.20328156
-58.74969276,-62.20332594
-58.74885834,-62.20317017
-58.74812757,-62.20280165
-58.74762673,-62.20225618
-58.74758143,-62.20175911
-58.74758577,-62.20135682
-58.74741418,-62.20082396
-58.74693604,-62.20052702
-58.74648492,-62.20007633
-58.74557398,-62.19997952
-58.74486596,-62.19985951
-58.74413533,-62.19949097
-58.74340472,-62.19912243
-58.74302591,-62.19901504
-58.74231793,-62.19889502
-58.74165958,-62.19886977
-58.74054578,-62.1987961
-58.74001369,-62.19880665
-58.73897656,-62.19867399
-58.73781317,-62.19850551
-58.73705563,-62.19829068
-58.736501,-62.19805268
-58.73554057,-62.19786102
-58.73450349,-62.19772832
-58.73320937,-62.19792627
-58.73214065,-62.19834959
-58.73117566,-62.19856017
-58.72967855,-62.19878126
-58.72886687,-62.19887388
-58.72780268,-62.19889488
-58.72668892,-62.19882108
-58.72593145,-62.19860618
-58.7253498,-62.19852188
-58.72436231,-62.19848388
-58.72312234,-62.19837423
-58.72246402,-62.19834888
-58.72185524,-62.19841832
-58.72129602,-62.19858253
-58.7210388,-62.19891318
-58.72073204,-62.19914904
-58.72011849,-62.19962075
-58.71942822,-62.20015142
-58.71896803,-62.2005052
-58.71891372,-62.20081271
-58.7187827,-62.20117917
-58.71867406,-62.20179418
-58.71866929,-62.20219647
-58.71835769,-62.20283461
-58.71842962,-62.20317794
-58.71885793,-62.2033802
-58.71920955,-62.20364143
-58.71984084,-62.20382055
-58.72021962,-62.20392801
-58.72122972,-62.20421459
-58.72158137,-62.20447581
-58.72200973,-62.20467806
-58.72236139,-62.20493928
-58.72281219,-62.20539007
-58.7231863,-62.20589983
-58.72363713,-62.20635062
-58.72419181,-62.20658868
-58.72462023,-62.20679093
-58.72575676,-62.20711329
-58.72651447,-62.2073282
-58.7284359,-62.20771168
-58.72992891,-62.2078929
-58.73111516,-62.20831001
-58.73232853,-62.20857334
-58.73346524,-62.20889563
-58.73452528,-62.20927689
-58.73500343,-62.20957389
-58.73593722,-62.20991933
-58.73689808,-62.210111
-58.73765597,-62.21032584
-58.73856723,-62.21042271
-58.73940182,-62.21057856
-58.74041237,-62.21086499
-58.74154927,-62.21118721
-58.74240652,-62.21159159
-58.74301113,-62.21192436
-58.74407143,-62.21230554
-58.74472573,-62.21273308
-58.74555605,-62.2132912
-58.74628708,-62.21365975
-58.74714447,-62.21406409
-58.74790255,-62.21427887
-58.74891334,-62.21456524
-58.74987447,-62.21475681
-58.75101594,-62.21467664
-58.75273949,-62.21468063
-58.75385397,-62.2147542
-58.75471575,-62.21475618
-58.75636265,-62.21481911
-58.75742745,-62.21479787
-58.70014033,-62.2271259
-58.70046504,-62.2273452
-58.70061427,-62.22738754
-58.70084458,-62.22739693
-58.70101902,-62.22740318
-58.70113119,-62.22740703
-58.70246065,-62.22753495
-58.70344243,-62.22771428
-58.70433187,-62.22796659
-58.70604611,-62.22847065
-58.70627589,-62.22858923
-58.70645209,-62.2286799
-58.70699733,-62.22883455
-58.70739333,-62.22894687
-58.70784162,-62.22909436
-58.70797807,-62.22913815
-58.70810656,-62.22917967
-58.70829284,-62.22929609
-58.70826066,-62.2294777
-58.70824721,-62.22969515
-58.70847179,-62.23004368
-58.70900362,-62.23041577
-58.70933918,-62.23057451
-58.70967087,-62.23075504
-58.70989386,-62.23087677
-58.71004976,-62.23096421
-58.71059994,-62.23137454
-58.71126494,-62.2320336
-58.71106665,-62.23165439
-58.710794,-62.23141177
-58.71056664,-62.23125574
-58.71028756,-62.23104945
-58.71012569,-62.23096031
-58.70987812,-62.23082398
-58.70967087,-62.23075504
-58.70952247,-62.23070787
-58.70905667,-62.23055288
-58.70876517,-62.23041681
-58.70840698,-62.23014992
-58.70825222,-62.22993817
-58.70820664,-62.22987692
-58.70822899,-62.22971541
-58.70819125,-62.22950379
-58.70818535,-62.22943091
-58.70812174,-62.22934166
-58.70797807,-62.22913815
-58.70790268,-62.22903284
-58.70755229,-62.22881647
-58.70735329,-62.22876003
-58.70633582,-62.2283926
-58.70553253,-62.22824359
-58.70431674,-62.22789872
-58.70380735,-62.22775421
-58.70370393,-62.22768927
-58.70314121,-62.2275627
-58.70262062,-62.22751675
-58.70246065,-62.22753495
-58.70236467,-62.22754587
-58.70214711,-62.22757062
-58.70185475,-62.22760467
-58.70159011,-62.2275296
-58.70124031,-62.22746342
-58.70094422,-62.22741248
-58.70084458,-62.22739693
-58.70064572,-62.2273634
-58.70036124,-62.22724708
-58.70016635,-62.22712057
-58.70011741,-62.2270431
-58.70016245,-62.22695414
-58.70013151,-62.22681056
-58.70003766,-62.22671526
-58.75061055,-62.2019686
-58.75049506,-62.20194858
-58.7503576,-62.20200621
-58.75031301,-62.20203425
-58.75008199,-62.20218483
-58.74992069,-62.20230687
-58.74975416,-62.20247065
-58.74962625,-62.2026047
-58.74953016,-62.20274777
-58.74956348,-62.20291481
-58.74956732,-62.2029286
-58.74972037,-62.20305586
-58.74989273,-62.20316825
-58.74074543,-62.21075897
-58.74041336,-62.21065214
-58.73964266,-62.21040319
-58.73933432,-62.21031579
-58.73903793,-62.21023178
-58.73829794,-62.21002203
-58.73824352,-62.20999898
-58.74976,-62.20304421
-58.74966345,-62.20285671
-58.74962904,-62.20279104
-58.74980521,-62.20258425
-58.74988728,-62.20252108
-58.74992832,-62.2024895
-58.7499838,-62.20237559
-58.75011893,-62.20220038
-58.75017616,-62.20218356
-58.7504183,-62.20211238
-58.75074228,-62.20207456
-58.75080918,-62.2020859
-58.73824352,-62.20999898
-58.73825602,-62.21002286
-58.73846944,-62.21010369
-58.73870019,-62.2101691
-58.7390662,-62.21027285
-58.73932878,-62.21034727
-58.73943222,-62.21037659
-58.73995129,-62.21060761
-58.74009126,-62.2106905
-58.74045928,-62.2107948
-58.74094069,-62.21093125
-58.79894149,-62.17328562
-58.79909334,-62.17323971
-58.79933022,-62.17326867
-58.79967973,-62.17340573
-58.79993948,-62.17350721
-58.80012298,-62.17357948
-58.80033802,-62.173554
-58.80043433,-62.17347966
-58.80052582,-62.17340904
-58.80056193,-62.17338116
-58.80062453,-62.17333284
-58.80076117,-62.17315815
-58.8008646,-62.1728623
-58.80089771,-62.17276753
-58.80088732,-62.17263504
-58.80081473,-62.1725967
-58.80049809,-62.17243847
-58.80005365,-62.17235583
-58.7996216,-62.17240623
-58.7990992,-62.17217196
-58.7991144,-62.17212038
-58.79908828,-62.17205456
-58.7992111,-62.17191152
-58.79924525,-62.17183483
-58.79945233,-62.17162674
-58.79954625,-62.17150601
-58.79967094,-62.1713762
-58.79972444,-62.17132023
-58.80000371,-62.17110464
-58.8000958,-62.17105451
-58.80064641,-62.17075319
-58.80070659,-62.17070673
-58.80092566,-62.1705376
-58.8023011,-62.1700126
-58.80261421,-62.16984216
-58.80262583,-62.16983529
-58.80286966,-62.16970366
-58.80381128,-62.1693835
-58.74999337,-62.21398191
-58.74969821,-62.21396185
-58.74895996,-62.21390776
-58.74755324,-62.21380663
-58.74615314,-62.21353704
-58.74514441,-62.21325122
-58.7446504,-62.21301972
-58.7444574,-62.21292945
-58.74383496,-62.21272764
-58.74335449,-62.2125737
-58.74307367,-62.21244836
-58.74297675,-62.21240564
-58.7428362,-62.21233785
-58.79835629,-62.17832992
-58.79828998,-62.17825527
-58.79830427,-62.17817294
-58.79829339,-62.17782693
-58.79836175,-62.17762528
-58.79858485,-62.17696447
-58.79865584,-62.17655527
-58.79876387,-62.17632929
-58.79888461,-62.17619836
-58.79898482,-62.17608956
-58.79907187,-62.17593639
-58.79913378,-62.17583199
-58.79921514,-62.17555528
-58.79923141,-62.17547352
-58.7991879,-62.1754358
-58.79901826,-62.17528362
-58.79868794,-62.1748675
-58.79866943,-62.17484194
-58.79840561,-62.17470374
-58.79812035,-62.17455693
-58.79796458,-62.17432485
-58.79786777,-62.17418567
-58.79799008,-62.17387737
-58.79879204,-62.17332967
-58.79894149,-62.17328562
-58.75080918,-62.2020859
-58.75118705,-62.2021574
-58.75156152,-62.20224827
-58.75217082,-62.20239297
-58.75347419,-62.20259201
-58.75462211,-62.20270123
-58.75557493,-62.20288733
-58.75655877,-62.20312287
-58.75719994,-62.20327657
-58.75754063,-62.20335784
-58.75823484,-62.20355451
-58.75828059,-62.20356747
-58.75899978,-62.20374072
-58.75924814,-62.2038009
-58.75933296,-62.20381731
-58.75939348,-62.20382937
-58.75945045,-62.20383788
-58.75990764,-62.20392165
-58.76015215,-62.20396804
-58.76059698,-62.20405084
-58.76108284,-62.20410205
-58.76148666,-62.20421644
-58.76190489,-62.20424849
-58.76218544,-62.20424409
-58.76252582,-62.20412447
-58.76282496,-62.2038229
-58.76300104,-62.20361608
-58.76342344,-62.20343329
-58.76401596,-62.2034715
-58.7641222,-62.20346093
-58.76427187,-62.20341691
-58.76428628,-62.20333459
-58.76426471,-62.20321919
-58.76425714,-62.20317893
-58.76424944,-62.20315133
-58.76474946,-62.20290666
-58.76534396,-62.20294543
-58.76578638,-62.20303007
-58.76601633,-62.20313586
-58.76635252,-62.20323107
-58.76664769,-62.20335787
-58.76676857,-62.20347851
-58.76692847,-62.203567
-58.7669407,-62.20370007
-58.76692631,-62.2037824
-58.76680567,-62.2038753
-58.76711109,-62.20413461
-58.76721911,-62.20418553
-58.76734063,-62.20424282
-58.76750359,-62.20426609
-58.7679598,-62.20433175
-58.76826939,-62.20437622
-58.76984459,-62.20470537
-58.77000786,-62.20473889
-58.77098562,-62.20496238
-58.77080987,-62.20494057
-58.7680765,-62.2045122
-58.76727278,-62.2042846
-58.76708185,-62.20414666
-58.76662236,-62.20381322
-58.76651701,-62.2037351
-58.76644895,-62.20371837
-58.76643672,-62.20370474
-58.766289,-62.20359429
-58.76577128,-62.20337905
-58.7652735,-62.20320503
-58.76481843,-62.20310918
-58.76451106,-62.20312378
-58.76439389,-62.20314904
-58.76425714,-62.20317893
-58.76410518,-62.20321213
-58.76358244,-62.20333601
-58.76313628,-62.20334433
-58.76304285,-62.20338903
-58.76274129,-62.20353743
-58.76232867,-62.20385515
-58.76205811,-62.20389796
-58.7615086,-62.20398375
-58.76109579,-62.20396848
-58.7602686,-62.20393494
-58.75988475,-62.20389737
-58.75945045,-62.20383788
-58.75939348,-62.20382937
-58.75933296,-62.20381731
-58.75924814,-62.2038009
-58.75899978,-62.20374072
-58.75859119,-62.20366563
-58.75828059,-62.20356747
-58.75823484,-62.20355451
-58.75703567,-62.20318936
-58.75680249,-62.20309026
-58.75650914,-62.2028699
-58.75632769,-62.20278545
-58.75594885,-62.20257644
-58.75547148,-62.20244119
-58.75485734,-62.20230022
-58.75439085,-62.2022697
-58.75311275,-62.20224813
-58.75289927,-62.20225118
-58.75284273,-62.20224024
-58.75260946,-62.20218939
-58.75223048,-62.20214808
-58.75176201,-62.20211699
-58.75129553,-62.20208647
-58.75070132,-62.2019867
-58.75061055,-62.2019686
-58.79906566,-62.18132246
-58.79921375,-62.1813466
-58.79942871,-62.18138204
-58.8002997,-62.18148377
-58.80042634,-62.18149929
-58.80102039,-62.18158614
-58.80164153,-62.1817213
-58.80222215,-62.18188562
-58.8026099,-62.18199536
-58.80293403,-62.18208709
-58.8032331,-62.18226317
-58.80333544,-62.18232261
-58.80370935,-62.18251225
-58.803848,-62.18261499
-58.80397911,-62.18271306
-58.80412203,-62.18287543
-58.80378487,-62.18313564
-58.80376802,-62.18314865
-58.80353441,-62.18332894
-58.80329839,-62.18351109
-58.80295424,-62.18370328
-58.80266097,-62.18386668
-58.80241369,-62.18392118
-58.8021008,-62.1839571
-58.80200994,-62.18395171
-58.7760579,-62.20660929
-58.77519824,-62.20629479
-58.77490364,-62.2062241
-58.77433675,-62.20608649
-58.77404199,-62.20599288
-58.77310037,-62.20565769
-58.77098562,-62.20496238
-58.80200994,-62.18395171
-58.8019912,-62.18395149
-58.80183901,-62.1839389
-58.80152425,-62.18391333
-58.8015119,-62.18391237
-58.80112943,-62.18388034
-58.80076017,-62.18379616
-58.800716,-62.1837862
-58.80061498,-62.18380333
-58.80047522,-62.18382729
-58.80024218,-62.18389596
-58.79994409,-62.18401482
-58.79977179,-62.1842023
-58.79972684,-62.18446139
-58.79967086,-62.18461574
-58.79965573,-62.18470291
-58.79964859,-62.18474408
-58.7997541,-62.1849416
-58.79985721,-62.18514098
-58.79983693,-62.18526987
-58.79981467,-62.18539821
-58.79994004,-62.18546925
-58.80025823,-62.1855593
-58.8005118,-62.18569711
-58.80059174,-62.18576545
-58.80075362,-62.18590271
-58.80074595,-62.18595897
-58.80072242,-62.18609457
-58.80069775,-62.18622476
-58.80061046,-62.18640328
-58.8006732,-62.18652264
-58.80066198,-62.18675572
-58.80087995,-62.18695457
-58.80092661,-62.18699826
-58.80086376,-62.18707192
-58.80078562,-62.18716158
-58.80058157,-62.18737565
-58.80034662,-62.18761146
-58.80024822,-62.18778176
-58.80022757,-62.18781656
-58.80008668,-62.18814757
-58.79990301,-62.18840044
-58.79986133,-62.18842421
-58.79956331,-62.18871076
-58.7991369,-62.18903973
-58.79855204,-62.1890673
-58.79802983,-62.18904653
-58.79738474,-62.18912056
-58.79677606,-62.1892252
-58.79672431,-62.18925883
-58.79649084,-62.18941377
-58.79622641,-62.1895066
-58.79599089,-62.18957713
-58.79574676,-62.18954106
-58.7955198,-62.18950223
-58.79540123,-62.18956014
-58.79528649,-62.18954799
-58.79511239,-62.1895292
-58.7948032,-62.18954331
-58.79452733,-62.18966593
-58.79443244,-62.18970766
-58.79381295,-62.19007854
-58.79365564,-62.19014325
-58.79352116,-62.19019665
-58.79337314,-62.19042405
-58.79341357,-62.19067176
-58.79341123,-62.19084131
-58.79375888,-62.19107435
-58.79388426,-62.1911454
-58.79427658,-62.19128946
-58.79474055,-62.19140553
-58.79526064,-62.19153493
-58.79526064,-62.19153493
-58.79570668,-62.19169418
-58.79591951,-62.19175441
-58.7963949,-62.19188894
-58.79655403,-62.19193397
-58.79685894,-62.19208885
-58.79719958,-62.19221826
-58.7975069,-62.19237128
-58.79762336,-62.19250585
-58.79771365,-62.19262285
-58.7977578,-62.19268107
-58.79800913,-62.19298844
-58.79807673,-62.19305584
-58.79809483,-62.19308382
-58.79835883,-62.19322203
-58.79868615,-62.19341626
-58.7989601,-62.19355729
-58.79911891,-62.19364032
-58.79961026,-62.19377934
-58.79964324,-62.19379375
-58.79985396,-62.19391434
-58.80022863,-62.1941245
-58.80029767,-62.19425581
-58.80030352,-62.19427017
-58.80034474,-62.19434534
-58.80041597,-62.19450013
-58.800528,-62.19473251
-58.80055247,-62.19480802
-58.80054776,-62.19479907
-58.800528,-62.19473251
-58.80046643,-62.19452203
-58.80041597,-62.19450013
-58.80031715,-62.19444423
-58.80030352,-62.19427017
-58.80029767,-62.19425581
-58.79999254,-62.19402976
-58.79985396,-62.19391434
-58.79977912,-62.19385252
-58.79964324,-62.19379375
-58.79961026,-62.19377934
-58.79937345,-62.19367678
-58.7989601,-62.19355729
-58.79844128,-62.19332412
-58.79817246,-62.19318962
-58.79809483,-62.19308382
-58.79807673,-62.19305584
-58.79801689,-62.19296778
-58.79791382,-62.19285224
-58.79779632,-62.19269959
-58.79771365,-62.19262285
-58.7975661,-62.1924871
-58.79737394,-62.19234381
-58.79673516,-62.19210463
-58.79642061,-62.19195719
-58.79584883,-62.19176489
-58.79543312,-62.19164725
-58.79523421,-62.19159096
-58.79474055,-62.19140553
-58.79425684,-62.1912229
-58.79373413,-62.19098859
-58.79344091,-62.19064647
-58.79351202,-62.19023725
-58.79365564,-62.19014325
-58.79410734,-62.18984938
-58.79443244,-62.18970766
-58.79452733,-62.18966593
-58.7947445,-62.18964101
-58.79506784,-62.1896055
-58.79528649,-62.18954799
-58.79562306,-62.18946033
-58.79594441,-62.18942425
-58.79617874,-62.18939657
-58.79662296,-62.18926571
-58.79672431,-62.18925883
-58.79704115,-62.18923671
-58.79731044,-62.18922401
-58.79763514,-62.18916856
-58.79809708,-62.18915194
-58.79844061,-62.1891323
-58.79877248,-62.18916778
-58.79902493,-62.18911982
-58.79921041,-62.18902497
-58.80000543,-62.18836337
-58.80022996,-62.18804332
-58.80024822,-62.18778176
-58.80045698,-62.18757664
-58.80071759,-62.18732523
-58.80086376,-62.18707192
-58.80087995,-62.18695457
-58.80088919,-62.1869013
-58.80081794,-62.18661441
-58.80078953,-62.18648952
-58.80081176,-62.18622908
-58.80075934,-62.185978
-58.80074595,-62.18595897
-58.80059174,-62.18576545
-58.80051998,-62.18567402
-58.80024405,-62.1854486
-58.8000596,-62.18524906
-58.8000047,-62.18514461
-58.79999196,-62.18509782
-58.79968187,-62.18476874
-58.79965573,-62.18470291
-58.79951107,-62.18433428
-58.79989147,-62.18396944
-58.80026797,-62.18381943
-58.80061498,-62.18380333
-58.80066125,-62.18380119
-58.80076017,-62.18379616
-58.80105254,-62.18378237
-58.8015119,-62.18391237
-58.80152425,-62.18391333
-58.80159982,-62.18393471
-58.80172468,-62.18397259
-58.80182142,-62.18394408
-58.80183901,-62.1839389
-58.80187418,-62.18392853
-58.80199321,-62.18390379
-58.80209673,-62.18392039
-58.80234672,-62.18387428
-58.80257988,-62.18379293
-58.80286884,-62.18366641
-58.80316505,-62.18348605
-58.80336253,-62.18333364
-58.8036708,-62.18309574
-58.80381365,-62.18289739
-58.80382006,-62.1828484
-58.80384951,-62.18276275
-58.80383382,-62.18273291
-58.80379659,-62.18265887
-58.80362897,-62.18249459
-58.80333544,-62.18232261
-58.8032331,-62.18226317
-58.80291863,-62.18211575
-58.8026099,-62.18199536
-58.8023735,-62.18190305
-58.80161696,-62.18165846
-58.80086762,-62.1815048
-58.8002997,-62.18148377
-58.80002391,-62.1814743
-58.79952205,-62.18142116
-58.79921375,-62.1813466
-58.79897346,-62.18128875
-58.79884935,-62.18125869
-58.79858512,-62.1811585
-58.79857529,-62.18114302
-58.79855491,-62.18110422
-58.79852668,-62.18105051
-58.79855519,-62.18098237
-58.79865341,-62.18074091
-58.79885572,-62.18058479
-58.79908709,-62.18047754
-58.79969491,-62.18022029
-58.79988483,-62.17993112
-58.79980684,-62.17977949
-58.79949698,-62.17952159
-58.79941655,-62.17942007
-58.79900449,-62.1789097
-58.79857164,-62.1785433
-58.79843556,-62.17842603
-58.79835629,-62.17832992
-58.78610835,-62.21009389
-58.78515833,-62.20998518
-58.78394874,-62.20972424
-58.7831077,-62.20944561
-58.78209312,-62.20903654
-58.78084092,-62.20848144
-58.77936826,-62.2078258
-58.77781177,-62.20730395
-58.77692012,-62.20690926
-58.7760579,-62.20660929
-58.800528,-62.19473251
-58.80054776,-62.19479907
-58.80055247,-62.19480802
-58.80094925,-62.19540802
-58.8011186,-62.19620026
-58.80122572,-62.1970384
-58.80143778,-62.19728383
-58.80155434,-62.19750225
-58.80162125,-62.19774219
-58.80164833,-62.19783876
-58.8015664,-62.19831096
-58.80144777,-62.19846539
-58.8013699,-62.1985653
-58.80073719,-62.19956507
-58.80030338,-62.20030865
-58.80010685,-62.20056299
-58.80000583,-62.20084435
-58.80038879,-62.20157254
-58.8003476,-62.20180985
-58.80061754,-62.20201068
-58.80081581,-62.20223951
-58.80083162,-62.20225668
-58.80096286,-62.20266725
-58.8010402,-62.20281106
-58.80103868,-62.20312056
-58.80119052,-62.20341247
-58.80114735,-62.20364922
-58.80114587,-62.20368183
-58.80114583,-62.20395873
-58.80148811,-62.20492182
-58.80142633,-62.2052778
-58.80150216,-62.20573112
-58.80154968,-62.20581823
-58.80153606,-62.20623355
-58.80199633,-62.20680575
-58.80239158,-62.20756025
-58.80259882,-62.20845974
-58.80260687,-62.2091835
-58.80255381,-62.20927266
-58.80253041,-62.20934734
-58.80233324,-62.20999022
-58.8019272,-62.21023616
-58.80157277,-62.21037729
-58.80078082,-62.21039217
-58.80030234,-62.21029752
-58.79960065,-62.2102617
-58.79909122,-62.21023705
-58.79879079,-62.2102715
-58.79834752,-62.21034686
-58.79784255,-62.21040476
-58.79729899,-62.21049241
-58.79677089,-62.21050312
-58.79664744,-62.21051648
-58.79588971,-62.21045462
-58.79503547,-62.21025114
-58.7937516,-62.2102488
-58.79224771,-62.21034682
-58.79083127,-62.21048226
-58.79064792,-62.2104558
-58.79005613,-62.21044847
-58.78928729,-62.21051047
-58.78894385,-62.21057593
-58.78862793,-62.21068729
-58.78830239,-62.21067396
-58.7879373,-62.21049191
-58.7878505,-62.2104267
-58.78734697,-62.21028424
-58.78705761,-62.21024303
-58.78661776,-62.2101186
-58.78610835,-62.21009389
-58.74094069,-62.21093125
-58.74173305,-62.21131851
-58.74199822,-62.21144959
-58.74209997,-62.21152418
-58.74228088,-62.21165934
-58.74245074,-62.21189305
-58.74266337,-62.21215668
-58.7428649,-62.21230531
-58.74307367,-62.21244836
-58.74359819,-62.21262496
-58.7440896,-62.21276422
-58.74471772,-62.21292187
-58.74545684,-62.2131135
-58.74583347,-62.21331174
-58.74612197,-62.21339348
-58.74667706,-62.21351517
-58.74716309,-62.21363762
-58.74724311,-62.21365775
-58.74759768,-62.21372008
-58.7481313,-62.21379755
-58.74873954,-62.21387836
-58.74895996,-62.21390776
-58.74911102,-62.21392768
-58.74969821,-62.21396185
-58.7504033,-62.2139074
-58.75158391,-62.21395207
-58.75163578,-62.21395405
-58.75414823,-62.2140506
-58.7575723,-62.21415364
-58.75997502,-62.21432827
-58.76108807,-62.21442488
-58.7617425,-62.21475506
-58.76191904,-62.21509479
-58.76194072,-62.21531697
-58.76202102,-62.21620639
-58.76204269,-62.21642857
-58.76224541,-62.21663084
-58.76217091,-62.21704436
-58.76282542,-62.21737454
-58.7635041,-62.21756669
-58.76499911,-62.21784505
-58.76676691,-62.21827177
-58.76861968,-62.2188699
-58.77000135,-62.21911609
-58.77129569,-62.21919268
-58.77267975,-62.21907863
-58.77494974,-62.21899925
-58.77603135,-62.21919349
-58.7760477,-62.21919557
-58.77633147,-62.21924537
-58.7765014,-62.21930108
-58.77970163,-62.22034372
-58.78203284,-62.22093204
-58.78488828,-62.22123403
-58.78763228,-62.22150442
-58.78904028,-62.22161292
-58.79042228,-62.22185888
-58.79329744,-62.22238471
-58.79431699,-62.22267296
-58.79521599,-62.22282549
-58.79558558,-62.22288677
-58.79646969,-62.22292074
-58.79688018,-62.2229631
-58.79746973,-62.22298493
-58.79792178,-62.22311272
-58.79807885,-62.2232308
-58.79784981,-62.22352684
-58.79743971,-62.22384284
-58.79691367,-62.22412862
-58.79690046,-62.2241325
-58.79552542,-62.2246026
-58.79386413,-62.22492824
-58.79209171,-62.22521992
-58.7901096,-62.22603164
-58.78914916,-62.22677141
-58.78839381,-62.22735318
-58.78789192,-62.22785924
-58.78745517,-62.22831512
-58.78631347,-62.22907481
-58.78453608,-62.22972847
-58.78289399,-62.23063639
-58.7815687,-62.23177622
-58.78103587,-62.23278183
-58.78096163,-62.23319539
-58.78066247,-62.23390369
-58.78022351,-62.23435899
-58.77963388,-62.23469544
-58.77824036,-62.23517055
-58.7767813,-62.23605661
-58.77618288,-62.23675402
-58.77597529,-62.23727223
-58.77574348,-62.23757011
-58.77560099,-62.23767976
-58.77547057,-62.23778012
-58.77521935,-62.23785395
-58.77426473,-62.23787372
-58.7740479,-62.23782257
-58.77283856,-62.23754155
-58.77029599,-62.23747309
-58.76828612,-62.23766962
-58.76778624,-62.23771885
-58.76745431,-62.23775204
-58.76540733,-62.23825576
-58.76383418,-62.23875119
-58.763148,-62.23927894
-58.76182602,-62.23970054
-58.75465977,-62.24043594
-58.7539614,-62.24050777
-58.75111642,-62.24086182
-58.7497077,-62.24103765
-58.74786561,-62.24138315
-58.74688657,-62.24154075
-58.74600191,-62.24150642
-58.74504714,-62.24152597
-58.74273648,-62.24115911
-58.74028087,-62.24125964
-58.73880152,-62.24156283
-58.73807377,-62.2416466
-58.73732213,-62.241866
-58.73654857,-62.2418656
-58.73555039,-62.24179906
-58.73394822,-62.24171909
-58.7318406,-62.24192057
-58.72998416,-62.24213214
-58.72917645,-62.24214746
-58.72819016,-62.24229781
-58.72736145,-62.24212409
-58.72680448,-62.24184425
-58.72607336,-62.24169816
-58.72486192,-62.24111083
-58.72420985,-62.24080149
-58.72384609,-62.24057636
-58.7235384,-62.24030609
-58.72338875,-62.24001703
-58.7233722,-62.23982671
-58.7229544,-62.2393396
-58.7224536,-62.2390146
-58.72157297,-62.23857942
-58.72105365,-62.23837123
-58.72043877,-62.23813594
-58.71913608,-62.23721493
-58.71829306,-62.23685139
-58.71723398,-62.23655121
-58.71648414,-62.2362166
-58.71604595,-62.23584571
-58.71595205,-62.23551392
-58.71564692,-62.23524178
-58.71536236,-62.2348534
-58.71434045,-62.23462728
-58.7126482,-62.23420855
-58.71155593,-62.23353011
-58.71112198,-62.23285265
-58.71126494,-62.2320336
-58.84978119,-62.1648479
-58.8496619,-62.16481418
-58.84896051,-62.16421227
-58.84820903,-62.16376883
-58.84735814,-62.16352831
-58.84648785,-62.16304872
-58.84583235,-62.16278725
-58.84513253,-62.16243199
-58.84440297,-62.16222573
-58.84406134,-62.16220023
-58.84364765,-62.16216959
-58.84330639,-62.16209341
-58.84107589,-62.16159729
-58.84008253,-62.16108281
-58.83970871,-62.16083238
-58.83962269,-62.16077505
-58.83931428,-62.1605685
-58.83929533,-62.16054537
-58.83928308,-62.16053175
-58.83923947,-62.16007002
-58.83929024,-62.15977462
-58.83955811,-62.1596955
-58.83992587,-62.15941105
-58.83995125,-62.15926335
-58.83956377,-62.15892273
-58.83854516,-62.15855594
-58.83743031,-62.15800957
-58.83646046,-62.15773525
-58.83582891,-62.15771149
-58.83463835,-62.15760577
-58.83368983,-62.15757104
-58.83283953,-62.15771644
-58.83274097,-62.15779266
-58.83247172,-62.15800087
-58.83213173,-62.15813575
-58.83154687,-62.15820389
-58.83108564,-62.15830447
-58.82976748,-62.15893959
