Longitude,Latitude
-68.36283337,-67.5492856
-68.36200701,-67.54928651
-68.36135158,-67.54928177
-68.36082406,-67.54923333
-68.36046747,-67.54917925
-68.36025235,-67.54898886
-68.36029304,-67.54871105
-68.35999188,-67.5484445
-68.35950624,-67.54827619
-68.35930587,-67.54815114
-68.35893457,-67.54803172
-68.3586063,-67.54795037
-68.35807882,-67.54790192
-68.35760907,-67.54795688
-68.35728081,-67.54787553
-68.35663786,-67.54762023
-68.35635148,-67.54741902
-68.35616471,-67.54720136
-68.35587834,-67.54700015
-68.3557776,-67.54685865
-68.35580477,-67.54667345
-68.35583193,-67.54648825
-68.35553085,-67.54622169
-68.35520149,-67.5459824
-68.35458805,-67.54585777
-68.35380371,-67.54573877
-68.35309068,-67.54563058
-68.35257685,-67.5454895
-68.35196344,-67.54536487
-68.35152093,-67.54523461
-68.35117803,-67.54508791
-68.35110563,-67.54491915
-68.35141802,-67.54477723
-68.35173042,-67.5446353
-68.35192851,-67.54444448
-68.35215489,-67.5442264
-68.35206778,-67.5439923
-68.35198068,-67.5437582
-68.35187998,-67.5436167
-68.35159369,-67.54341548
-68.35123612,-67.54320344
-68.35093515,-67.54293688
-68.35035011,-67.54278498
-68.3496225,-67.54261143
-68.34895258,-67.54254131
-68.34834035,-67.5425746
-68.34754362,-67.5427061
-68.34683286,-67.54291376
-68.34633489,-67.54299595
-68.34585054,-67.54298553
-68.34533682,-67.54284443
-68.34505061,-67.5426432
-68.34432304,-67.54246963
-68.34361017,-67.5423614
-68.34315414,-67.54232372
-68.34199992,-67.54224313
-68.34125772,-67.54200421
-68.34092858,-67.54176489
-68.34107012,-67.5416286
-68.34082693,-67.54146544
-68.34064037,-67.54124777
-68.34083852,-67.54105696
-68.34135011,-67.5408822
-68.34177573,-67.54063126
-68.34215941,-67.54050019
-68.34232924,-67.54033664
-68.34235651,-67.54015144
-68.34238378,-67.53996625
-68.34218254,-67.53968324
-68.34201065,-67.53953091
-68.34179578,-67.5393405
-68.3419373,-67.53920421
-68.34216373,-67.53898614
-68.34199184,-67.53883382
-68.34143528,-67.53865462
-68.34086509,-67.53856803
-68.34013871,-67.53855238
-68.33948463,-67.53870549
-68.33895943,-67.53897284
-68.3386617,-67.53918007
-68.33833565,-67.53941457
-68.33818045,-67.53964345
-68.33805356,-67.53984508
-68.33769919,-67.54010682
-68.33725787,-67.54013446
-68.33646017,-67.54010797
-68.33547695,-67.54002173
-68.33445176,-67.54005534
-68.3334832,-67.54003443
-68.33215923,-67.54011731
-68.33067903,-67.54027112
-68.32975341,-67.54028827
-68.32909826,-67.54028339
-68.32810044,-67.54013177
-68.32715928,-67.53992562
-68.32671703,-67.53979529
-68.32554838,-67.53964924
-68.3249499,-67.53958984
-68.32423721,-67.53948151
-68.32341122,-67.5394822
-68.32252768,-67.53937946
-68.32174375,-67.53926029
-68.32110147,-67.53900485
-68.32061634,-67.53883641
-68.32024541,-67.5387169
-68.31957571,-67.53864664
-68.31866475,-67.53872907
-68.31785253,-67.53863713
-68.31711157,-67.53855602
-68.31648481,-67.53852384
-68.31571553,-67.53846998
-68.3151171,-67.53841054
-68.31409113,-67.53828608
-68.31364899,-67.53815571
-68.31346272,-67.537938
-68.31341897,-67.53774198
-68.31335982,-67.53732267
-68.31283187,-67.53711612
-68.31179138,-67.53692629
-68.31080841,-67.5368399
-68.31046591,-67.53669311
-68.31012342,-67.53654632
-68.30958174,-67.53643235
-68.30909676,-67.53626388
-68.30895346,-67.53608426
-68.30868144,-67.53579037
-68.30836732,-67.53561633
-68.30792527,-67.53548594
-68.30762571,-67.53537724
-68.3072687,-67.5351651
-68.30689713,-67.53488762
-68.30642598,-67.53462655
-68.30589816,-67.53441998
-68.30554117,-67.53420783
-68.30512674,-67.53389226
-68.30482569,-67.53346768
-68.30443887,-67.53296691
-68.30409495,-67.53250424
-68.30385138,-67.53218309
-68.30353508,-67.53153524
-68.30320575,-67.53113791
-68.30293312,-67.53068608
-68.30268959,-67.53036493
-68.30271643,-67.53002182
-68.30255868,-67.52977685
